user_id,avg_decision_time,risk_score,exploration_score,curiosity_score,information_score,time_pressure_efficiency,decision_consistency,decision_variance,risk_shift_over_time,hint_dependency_curve,exploration_depth,pressure_success_rate,option_entropy,timeout_rate,path_unlock_rate,event_count,confidence,curiosity,emotional_safety,exploratory_power
TCBIS0409,6.415,0.877,0.482,0.626,0.591,0.658,0.632,0.328,0.072,0.13,0.485,0.824,0.789,0.075,0.49,21,7.39,6.08,5.03,6.45
TCBIS0410,6.927,0.459,0.391,0.547,0.739,0.558,0.94,0.006,-0.334,0.128,0.31,0.609,0.653,0.296,0.16,10,7.54,6.73,6.41,5.27
TCBIS0411,9.756,0.17,0.725,0.422,0.265,0.504,0.759,0.313,0.456,-0.243,0.556,0.812,0.461,0.219,0.243,13,6.18,5.67,5.83,6.06
TCBIS0412,2.86,0.527,0.291,0.781,0.505,0.506,0.988,0.054,-0.421,0.026,0.324,0.233,0.702,0.087,0.386,18,7.56,6.14,7.38,5.29
TCBIS0413,3.789,0.909,0.783,0.188,0.414,0.484,0.691,0.369,-0.335,-0.24,0.64,0.274,0.237,0.139,0.375,15,6.59,3.44,4.39,6.98
TCBIS0414,3.616,0.46,0.444,0.384,0.62,0.511,0.812,0.13,0.132,0.43,0.352,0.275,0.692,0.233,0.181,20,6.47,5.19,6.34,5.13
TCBIS0415,5.881,0.751,0.235,0.483,0.685,0.539,0.914,0.068,-0.352,0.444,0.256,0.498,0.413,0.012,0.296,12,7.36,4.91,6.23,4.23
TCBIS0416,9.866,0.671,0.541,0.817,0.628,0.233,0.704,0.309,0.404,0.122,0.404,0.137,0.539,0.11,0.15,19,5.04,7.75,6.21,5.14
TCBIS0417,10.297,0.719,0.05,0.618,0.33,0.289,0.672,0.404,-0.338,0.024,0.126,0.36,0.667,0.152,0.268,18,5.67,4.98,6.83,3.59
TCBIS0418,2.659,0.196,0.152,0.878,0.87,0.533,0.859,0.196,0.545,0.024,0.104,0.196,0.855,0.29,0.016,20,6.78,7.74,6.24,4.3
TCBIS0419,10.811,0.274,0.696,0.465,0.502,0.425,0.531,0.438,-0.33,0.118,0.472,0.664,0.689,0.102,0.055,14,6.15,5.52,6.48,6.39
TCBIS0420,9.725,0.522,0.404,0.514,0.479,0.319,1.0,0.068,-0.335,0.435,0.339,0.351,0.471,0.158,0.218,23,5.94,5.45,6.79,4.79
TCBIS0421,1.496,0.261,0.227,0.479,0.674,0.614,0.504,0.518,0.26,-0.032,0.424,0.33,0.643,0.268,0.791,15,6.29,6.54,6.28,5.02
TCBIS0422,8.94,0.795,0.334,0.413,0.645,0.501,0.801,0.243,-0.081,0.475,0.273,0.658,0.825,0.175,0.159,18,6.12,5.6,6.34,4.02
TCBIS0423,6.504,0.509,0.307,0.745,0.88,0.519,0.662,0.381,-0.366,0.454,0.222,0.459,0.77,0.103,0.064,17,7.12,7.77,6.59,4.3
TCBIS0424,5.285,0.365,0.408,0.583,0.422,0.579,0.639,0.418,0.548,0.389,0.319,0.6,0.577,0.222,0.153,21,6.8,5.58,6.81,5.44
TCBIS0425,7.742,0.201,0.508,0.799,0.494,0.582,0.604,0.366,-0.06,-0.211,0.449,0.778,0.773,0.159,0.338,21,7.37,6.24,6.12,5.26
TCBIS0426,1.918,0.617,0.34,0.749,0.803,0.637,0.899,0.087,0.106,0.252,0.32,0.385,0.681,0.148,0.282,16,6.52,6.97,7.11,5.22
TCBIS0427,7.402,0.619,0.584,0.612,0.434,0.516,1.0,0.027,-0.48,-0.052,0.497,0.619,0.582,0.084,0.335,13,8.04,5.42,7.3,6.66
TCBIS0428,11.061,0.037,0.708,0.508,0.68,0.34,0.801,0.141,0.073,-0.216,0.591,0.455,0.686,0.197,0.374,13,5.14,5.98,4.82,6.97
TCBIS0429,9.295,0.698,0.658,0.724,0.429,0.442,0.848,0.114,-0.419,0.055,0.519,0.602,0.319,0.264,0.262,19,5.8,6.45,5.92,6.22
TCBIS0430,6.919,0.714,0.354,0.578,0.561,0.477,0.651,0.332,-0.144,-0.056,0.415,0.468,0.864,0.119,0.527,22,6.84,5.79,6.07,6.02
TCBIS0431,9.626,0.58,0.585,0.506,0.413,0.574,0.827,0.143,0.15,0.609,0.465,0.924,0.735,0.032,0.243,14,7.22,5.32,7.99,5.67
TCBIS0432,8.193,0.381,0.279,0.559,0.423,0.592,0.852,0.124,0.072,0.282,0.299,0.852,0.804,0.025,0.336,17,8.12,5.35,7.39,6.01
TCBIS0433,7.975,0.538,0.159,0.712,0.73,0.578,0.837,0.16,0.343,0.603,0.211,0.736,0.805,0.305,0.308,14,7.62,6.76,6.69,4.86
TCBIS0434,10.836,0.472,0.952,0.757,0.58,0.355,0.79,0.242,-0.119,0.149,0.683,0.494,0.708,0.101,0.183,24,5.67,6.53,7.31,7.65
TCBIS0435,9.255,0.226,0.77,0.45,0.294,0.499,0.794,0.212,0.32,0.506,0.688,0.756,0.925,0.195,0.537,11,7.08,5.43,5.91,7.63
TCBIS0436,6.738,0.372,0.326,0.269,0.397,0.366,0.677,0.306,0.126,-0.181,0.234,0.244,0.316,0.249,0.062,16,6.61,4.6,6.09,4.16
TCBIS0437,6.908,0.565,0.842,0.142,0.56,0.524,0.744,0.239,-0.274,-0.009,0.639,0.571,0.842,0.206,0.262,15,6.9,4.72,6.13,6.9
TCBIS0438,1.81,0.591,0.766,0.336,0.383,0.569,0.971,0.077,-0.459,0.139,0.596,0.319,0.902,0.177,0.28,17,6.85,5.28,7.55,7.34
TCBIS0439,11.275,0.509,0.399,0.668,0.446,0.454,0.886,0.115,-0.336,-0.212,0.466,0.776,0.555,0.078,0.591,23,7.42,6.29,7.73,5.88
TCBIS0440,8.756,0.457,0.666,0.518,0.46,0.496,0.867,0.183,-0.408,0.347,0.562,0.674,0.685,0.05,0.368,11,7.5,5.72,6.82,6.69
TCBIS0441,3.593,0.736,0.455,0.132,0.583,0.59,0.822,0.178,-0.148,-0.103,0.44,0.458,0.69,0.062,0.412,18,7.03,3.9,5.57,5.83
TCBIS0442,5.953,0.712,0.511,0.564,0.304,0.43,0.826,0.186,-0.346,0.507,0.445,0.345,0.212,0.269,0.321,22,6.91,5.34,6.05,5.44
TCBIS0443,6.925,0.451,0.578,0.392,0.292,0.515,0.827,0.178,0.01,-0.217,0.397,0.613,0.836,0.018,0.061,23,6.11,5.3,7.46,5.53
TCBIS0444,5.522,0.564,0.722,0.698,0.411,0.404,0.722,0.331,0.475,-0.058,0.509,0.232,0.338,0.237,0.114,11,6.56,5.12,7.79,6.43
TCBIS0445,9.299,0.332,0.608,0.852,0.577,0.314,0.627,0.437,-0.011,0.625,0.45,0.284,0.435,0.372,0.156,16,5.2,7.83,5.49,5.59
TCBIS0446,5.001,0.166,0.194,0.141,0.47,0.629,0.635,0.409,0.43,-0.263,0.192,0.678,0.853,0.357,0.187,20,7.03,3.94,6.0,5.0
TCBIS0447,10.127,0.192,0.68,0.739,0.344,0.411,0.643,0.318,-0.307,0.559,0.601,0.615,0.442,0.175,0.454,17,5.87,7.31,6.13,6.66
TCBIS0448,8.007,0.687,0.194,0.833,0.774,0.449,0.758,0.209,-0.276,0.527,0.169,0.441,0.399,0.259,0.123,17,6.06,6.5,6.84,4.49
TCBIS0449,11.073,0.582,0.374,0.192,0.475,0.337,0.541,0.462,-0.535,-0.159,0.47,0.495,0.534,0.286,0.647,24,4.88,3.82,6.18,5.27
TCBIS0450,8.546,0.379,0.89,0.655,0.486,0.336,0.885,0.101,0.191,0.322,0.689,0.296,0.525,0.428,0.316,23,5.65,5.46,7.04,6.92
TCBIS0451,9.552,0.521,0.302,0.821,0.583,0.542,0.66,0.279,-0.207,0.372,0.383,0.81,0.772,0.119,0.534,24,7.23,6.95,6.76,5.64
TCBIS0452,6.523,0.455,0.686,0.418,0.272,0.579,0.859,0.174,0.432,-0.192,0.467,0.728,0.318,0.09,0.061,23,8.34,4.07,7.18,5.5
TCBIS0453,6.197,0.383,0.277,0.818,0.732,0.484,0.624,0.349,-0.057,0.003,0.363,0.389,0.932,0.117,0.523,12,6.91,6.08,6.18,5.6
TCBIS0454,11.225,0.245,0.758,0.635,0.549,0.485,0.911,0.028,0.022,0.545,0.52,0.819,0.555,0.183,0.077,10,7.16,6.45,6.23,6.88
TCBIS0455,8.101,0.075,0.968,0.212,0.133,0.307,0.491,0.55,-0.177,-0.324,0.717,0.275,0.886,0.201,0.252,19,4.97,4.5,5.87,7.76
TCBIS0456,10.02,0.16,0.846,0.569,0.6,0.199,0.542,0.455,0.117,-0.27,0.724,0.08,0.483,0.176,0.497,23,4.5,5.47,4.88,8.41
TCBIS0457,3.683,0.071,0.512,0.161,0.415,0.715,0.907,0.116,-0.051,-0.041,0.385,0.78,0.263,0.145,0.149,20,8.15,4.56,6.13,5.79
TCBIS0458,1.058,0.874,0.734,0.213,0.191,0.635,0.789,0.278,0.393,0.624,0.655,0.451,0.836,0.281,0.509,18,7.16,4.31,4.77,8.16
TCBIS0459,2.003,0.136,0.752,0.405,0.471,0.672,0.867,0.12,0.353,0.16,0.525,0.543,0.695,0.254,0.103,13,6.6,5.07,5.41,7.18
TCBIS0460,10.482,0.843,0.447,0.398,0.198,0.412,0.999,0.047,0.339,-0.3,0.354,0.677,0.762,0.041,0.181,11,5.91,4.82,6.1,4.5
TCBIS0461,6.544,0.376,0.47,0.232,0.433,0.624,1.0,0.025,-0.398,0.028,0.37,0.794,0.626,0.266,0.184,23,8.55,4.62,7.77,5.2
TCBIS0462,9.969,0.388,0.704,0.818,0.385,0.452,0.919,0.071,-0.437,0.325,0.614,0.686,0.609,0.267,0.447,15,6.54,6.77,7.22,6.66
TCBIS0463,7.913,0.142,0.548,0.204,0.206,0.319,0.564,0.371,-0.145,-0.228,0.457,0.272,0.567,0.18,0.287,20,4.21,3.05,5.66,6.36
TCBIS0464,10.154,0.503,0.024,0.454,0.373,0.357,0.874,0.068,0.36,0.017,0.068,0.492,0.514,0.212,0.149,23,5.27,5.37,6.56,3.19
TCBIS0465,6.501,0.267,0.114,0.496,0.63,0.561,0.727,0.244,0.188,0.353,0.187,0.607,0.658,0.041,0.322,22,7.89,6.02,5.71,4.67
TCBIS0466,2.294,0.374,0.211,0.398,0.633,0.681,0.819,0.193,0.318,-0.101,0.272,0.55,0.459,0.519,0.384,17,7.64,4.95,6.38,5.4
TCBIS0467,8.357,0.561,0.402,0.59,0.796,0.583,0.822,0.123,0.29,-0.007,0.405,0.761,0.337,0.16,0.411,10,7.57,6.17,7.77,5.36
TCBIS0468,5.145,0.585,0.623,0.723,0.875,0.737,0.929,0.123,0.409,-0.305,0.485,0.839,0.928,0.041,0.228,19,8.45,6.72,7.23,5.97
TCBIS0469,10.998,0.438,0.085,0.726,0.66,0.298,0.869,0.138,0.474,-0.111,0.163,0.362,0.803,0.365,0.309,14,5.86,6.02,7.4,4.34
TCBIS0470,7.227,0.489,0.554,0.375,0.685,0.57,0.613,0.421,-0.398,0.379,0.518,0.671,0.698,0.305,0.45,19,7.2,5.25,5.97,6.21
TCBIS0471,7.545,0.28,0.241,0.469,0.659,0.542,0.872,0.162,0.342,-0.183,0.205,0.639,0.665,0.184,0.137,13,7.03,4.41,6.96,3.7
TCBIS0472,8.374,0.689,0.868,0.856,0.432,0.538,0.705,0.307,0.51,0.297,0.658,0.743,0.86,0.107,0.269,20,7.54,6.03,6.17,8.09
TCBIS0473,5.553,0.134,0.831,0.391,0.443,0.363,0.666,0.258,-0.464,0.058,0.669,0.136,0.717,0.097,0.368,24,5.7,5.21,5.86,6.75
TCBIS0474,11.209,0.612,0.229,0.759,0.554,0.427,0.758,0.304,0.153,0.111,0.196,0.689,0.863,0.573,0.136,10,6.08,5.92,6.07,5.01
TCBIS0475,3.874,0.668,0.455,0.487,0.413,0.797,0.444,0.551,0.286,-0.141,0.549,0.977,0.435,0.016,0.723,22,8.72,5.6,6.28,5.9
TCBIS0476,3.838,0.314,0.355,0.596,0.453,0.694,0.875,0.072,-0.291,-0.233,0.242,0.736,0.913,0.29,0.032,12,7.24,5.89,6.63,4.69
TCBIS0477,6.138,0.621,0.617,0.465,0.583,0.543,0.583,0.428,-0.02,0.426,0.451,0.55,0.945,0.02,0.143,21,7.43,6.32,7.53,6.0
TCBIS0478,3.488,0.658,0.22,0.13,0.5,0.451,0.982,0.078,-0.191,0.346,0.346,0.159,0.858,0.428,0.579,17,4.97,4.57,6.45,5.48
TCBIS0479,6.872,0.313,0.913,0.59,0.765,0.455,0.972,0.016,-0.208,-0.183,0.665,0.369,0.273,0.232,0.204,22,6.47,6.97,6.54,7.31
TCBIS0480,8.237,0.795,0.574,0.344,0.514,0.581,0.69,0.303,0.443,0.292,0.464,0.81,0.639,0.142,0.259,14,7.33,5.25,5.66,6.01
TCBIS0481,3.867,0.732,0.088,0.622,0.528,0.579,0.603,0.422,-0.137,0.522,0.257,0.467,0.866,0.455,0.57,15,6.51,6.7,5.91,5.12
TCBIS0482,9.221,0.522,0.401,0.797,0.445,0.407,0.967,0.019,0.091,0.2,0.453,0.515,0.67,0.18,0.55,11,6.39,6.95,7.37,6.69
TCBIS0483,9.926,0.634,0.749,0.153,0.453,0.24,0.65,0.369,-0.39,0.461,0.552,0.196,0.567,0.386,0.185,19,4.01,4.49,5.35,6.63
TCBIS0484,3.249,0.447,0.388,0.745,0.884,0.574,0.865,0.144,-0.504,0.437,0.397,0.329,0.458,0.026,0.414,23,7.78,6.45,7.29,5.68
TCBIS0485,1.568,0.358,0.48,0.728,0.633,0.781,0.719,0.345,0.371,0.244,0.409,0.716,0.443,0.133,0.277,17,7.62,6.4,7.55,5.85
TCBIS0486,1.281,0.202,0.616,0.861,0.693,0.505,0.323,0.611,-0.119,-0.019,0.44,0.067,0.471,0.531,0.112,16,4.45,6.55,4.63,6.17
TCBIS0487,3.028,0.508,0.538,0.555,0.493,0.678,0.827,0.109,-0.344,-0.043,0.511,0.629,0.479,0.364,0.461,24,7.27,5.68,7.31,5.82
TCBIS0488,9.736,0.561,0.408,0.267,0.408,0.296,0.553,0.416,-0.118,-0.062,0.398,0.317,0.443,0.083,0.379,15,5.63,5.44,5.62,5.49
TCBIS0489,6.631,0.263,0.55,0.431,0.355,0.43,0.787,0.162,-0.354,-0.153,0.463,0.386,0.754,0.392,0.301,16,5.82,5.91,6.54,6.55
TCBIS0490,2.858,0.102,0.41,0.494,0.449,0.475,0.609,0.326,0.208,0.22,0.371,0.176,0.866,0.147,0.299,11,5.76,5.31,5.46,4.86
TCBIS0491,6.129,0.094,0.753,0.618,0.771,0.653,0.829,0.169,0.268,0.289,0.623,0.752,0.391,0.077,0.382,21,8.4,6.44,5.89,6.33
TCBIS0492,3.401,0.056,0.115,0.755,0.587,0.616,0.733,0.254,0.266,0.222,0.284,0.499,0.501,0.171,0.599,13,6.93,6.47,5.27,4.41
TCBIS0493,7.829,0.282,0.362,0.711,0.773,0.445,0.607,0.386,-0.455,0.463,0.307,0.42,0.583,0.205,0.204,10,6.57,8.28,5.72,5.65
TCBIS0494,9.554,0.204,0.229,0.43,0.374,0.403,0.945,0.013,-0.492,0.367,0.231,0.547,0.441,0.09,0.234,23,6.82,5.56,5.98,3.74
TCBIS0495,1.432,0.436,0.64,0.149,0.235,0.67,0.694,0.271,0.543,0.458,0.561,0.546,0.71,0.19,0.414,12,7.02,3.54,6.11,7.17
TCBIS0496,7.21,0.168,0.304,0.179,0.625,0.565,0.74,0.278,-0.504,-0.225,0.45,0.671,0.67,0.298,0.722,11,7.01,4.72,5.19,5.4
TCBIS0497,9.008,0.792,0.517,0.499,0.358,0.245,0.932,0.059,0.05,0.265,0.399,0.158,0.416,0.313,0.18,13,4.95,5.38,5.71,4.88
TCBIS0498,3.0,0.211,0.52,0.918,0.835,0.58,0.663,0.309,-0.347,-0.039,0.481,0.335,0.417,0.05,0.408,21,7.16,7.7,5.99,6.26
TCBIS0499,10.464,0.418,0.689,0.768,0.579,0.552,0.92,0.137,0.238,-0.274,0.528,0.902,0.898,0.12,0.229,19,7.94,5.98,7.65,6.89
TCBIS0500,9.465,0.38,0.161,0.314,0.411,0.425,0.763,0.253,-0.363,0.031,0.217,0.581,0.841,0.109,0.322,13,7.06,4.62,6.63,4.84
TCBIS0501,7.1,0.521,0.514,0.772,0.779,0.484,0.517,0.438,0.522,0.615,0.444,0.449,0.424,0.173,0.313,15,6.02,7.24,6.9,6.21
TCBIS0502,2.969,0.162,0.876,0.357,0.659,0.684,0.711,0.291,-0.01,0.389,0.723,0.601,0.883,0.133,0.438,15,6.87,5.16,5.84,7.68
TCBIS0503,5.509,0.27,0.436,0.563,0.592,0.364,0.685,0.27,0.289,0.484,0.318,0.102,0.818,0.166,0.1,19,5.02,5.81,5.62,5.14
TCBIS0504,7.267,0.33,0.488,0.36,0.65,0.438,0.811,0.147,-0.037,-0.264,0.51,0.388,0.494,0.108,0.551,11,6.53,5.48,7.13,6.15
TCBIS0505,9.666,0.234,0.602,0.351,0.203,0.494,0.924,0.133,0.049,0.184,0.406,0.797,0.399,0.062,0.042,10,7.35,4.43,6.77,5.8
TCBIS0506,5.474,0.329,0.623,0.524,0.429,0.419,0.379,0.6,-0.128,-0.247,0.511,0.257,0.647,0.168,0.304,19,6.19,6.28,6.09,6.6
TCBIS0507,9.262,0.134,0.447,0.271,0.166,0.386,0.619,0.355,0.42,0.616,0.445,0.534,0.714,0.224,0.442,20,5.89,5.39,5.2,5.97
TCBIS0508,5.745,0.091,0.489,0.746,0.757,0.521,0.671,0.321,0.445,-0.03,0.42,0.432,0.445,0.079,0.293,23,7.15,7.05,5.33,5.12
TCBIS0509,5.534,0.656,0.565,0.699,0.542,0.475,0.704,0.368,-0.276,0.379,0.445,0.36,0.468,0.068,0.221,16,7.44,6.16,5.79,5.75
TCBIS0510,10.548,0.195,0.653,0.52,0.376,0.164,0.297,0.638,-0.409,0.503,0.607,0.092,0.499,0.481,0.521,11,3.18,5.76,4.28,6.68
TCBIS0511,1.093,0.471,0.477,0.255,0.509,0.636,0.899,0.143,-0.358,0.286,0.398,0.385,0.413,0.072,0.252,20,8.06,4.9,7.55,5.47
TCBIS0512,7.768,0.341,0.914,0.227,0.618,0.355,0.88,0.05,-0.073,0.507,0.748,0.248,0.498,0.02,0.44,12,5.68,4.74,7.68,7.82
TCBIS0513,2.722,0.254,0.439,0.772,0.871,0.707,0.906,0.045,-0.151,0.548,0.425,0.588,0.448,0.308,0.399,24,8.01,7.25,6.38,5.14
TCBIS0514,6.647,0.452,0.232,0.569,0.455,0.363,0.455,0.477,-0.15,-0.278,0.354,0.217,0.707,0.308,0.58,15,5.02,6.48,6.09,5.14
TCBIS0515,6.22,0.568,0.445,0.583,0.284,0.607,0.866,0.081,-0.451,0.517,0.331,0.765,0.579,0.08,0.119,24,8.41,6.21,7.15,4.88
TCBIS0516,2.274,0.429,0.589,0.644,0.759,0.705,0.751,0.204,0.208,-0.212,0.648,0.572,0.93,0.009,0.758,18,8.68,7.1,7.38,7.52
TCBIS0517,9.729,0.522,0.302,0.704,0.593,0.237,0.981,0.046,-0.216,0.125,0.29,0.144,0.449,0.093,0.269,10,4.76,6.8,6.34,4.8
TCBIS0518,5.879,0.096,0.856,0.175,0.183,0.337,0.95,0.127,0.257,0.081,0.653,0.161,0.519,0.096,0.275,17,6.44,3.66,5.63,6.9
TCBIS0519,11.332,0.141,0.693,0.614,0.452,0.26,0.536,0.404,0.497,0.12,0.532,0.349,0.244,0.216,0.233,19,5.31,5.41,5.1,6.05
TCBIS0520,8.341,0.872,0.321,0.638,0.797,0.564,0.693,0.36,0.203,-0.309,0.26,0.717,0.912,0.172,0.147,17,6.57,5.63,4.61,5.12
TCBIS0521,8.047,0.232,0.42,0.74,0.858,0.41,0.841,0.131,0.091,0.405,0.425,0.339,0.715,0.205,0.435,13,6.78,6.55,5.85,5.57
TCBIS0522,5.094,0.792,0.428,0.234,0.146,0.493,0.817,0.152,0.246,0.514,0.427,0.455,0.636,0.213,0.424,23,6.77,4.1,5.49,5.33
TCBIS0523,10.762,0.09,0.224,0.453,0.466,0.283,0.998,0.046,0.046,0.525,0.445,0.353,0.896,0.125,0.854,23,6.27,5.88,6.2,5.62
TCBIS0524,10.112,0.713,0.734,0.293,0.267,0.327,0.673,0.261,0.009,0.432,0.532,0.446,0.789,0.528,0.156,24,5.81,4.6,6.06,6.29
TCBIS0525,7.851,0.137,0.667,0.593,0.671,0.347,0.606,0.38,0.462,0.19,0.475,0.227,0.647,0.419,0.119,21,4.43,7.01,4.79,6.17
TCBIS0526,2.769,0.596,0.237,0.816,0.765,0.687,0.565,0.43,0.314,0.564,0.317,0.57,0.914,0.086,0.466,19,7.64,7.37,7.08,4.81
TCBIS0527,10.909,0.65,0.393,0.088,0.17,0.156,0.873,0.141,0.045,0.09,0.335,0.149,0.826,0.264,0.228,24,3.78,3.23,5.39,4.92
TCBIS0528,10.349,0.373,0.419,0.559,0.646,0.448,0.919,0.123,0.188,0.613,0.47,0.649,0.506,0.053,0.564,24,7.07,6.62,6.77,6.16
TCBIS0529,1.248,0.513,0.265,0.327,0.229,0.662,0.726,0.261,0.487,0.198,0.374,0.516,0.56,0.372,0.576,13,6.5,4.51,6.53,5.38
TCBIS0530,8.059,0.574,0.372,0.762,0.854,0.415,0.827,0.158,0.288,-0.055,0.383,0.352,0.609,0.325,0.404,18,5.4,7.58,6.43,5.18
TCBIS0531,6.466,0.477,0.889,0.362,0.645,0.547,0.675,0.282,-0.467,0.116,0.64,0.57,0.619,0.116,0.178,17,7.05,5.23,6.59,7.38
TCBIS0532,6.624,0.385,0.481,0.505,0.265,0.524,0.82,0.151,-0.2,0.038,0.452,0.615,0.917,0.409,0.398,22,6.44,5.7,5.67,6.92
TCBIS0533,11.314,0.161,0.859,0.51,0.632,0.316,0.795,0.19,-0.019,0.408,0.678,0.431,0.139,0.55,0.341,17,5.75,6.39,5.42,7.91
TCBIS0534,3.559,0.75,0.66,0.355,0.623,0.617,0.794,0.146,0.277,0.408,0.532,0.506,0.723,0.045,0.294,12,7.77,5.18,6.81,6.85
TCBIS0535,1.368,0.315,0.458,0.264,0.535,0.579,0.76,0.304,0.099,-0.054,0.347,0.273,0.681,0.002,0.14,20,7.33,4.31,7.09,5.87
TCBIS0536,4.266,0.285,0.546,0.193,0.231,0.683,0.429,0.557,0.323,-0.042,0.473,0.795,0.404,0.103,0.336,12,7.84,3.62,5.75,5.45
TCBIS0537,1.934,0.428,0.567,0.617,0.305,0.774,0.455,0.542,-0.203,0.262,0.481,0.802,0.767,0.114,0.321,14,8.03,4.84,7.24,6.39
TCBIS0538,8.442,0.862,0.247,0.672,0.673,0.523,0.908,0.1,-0.367,0.284,0.258,0.661,0.668,0.022,0.278,16,6.35,5.84,5.96,4.56
TCBIS0539,7.289,0.159,0.635,0.23,0.245,0.425,0.948,0.086,0.114,0.493,0.424,0.451,0.469,0.506,0.031,17,6.13,5.05,5.72,5.36
TCBIS0540,8.161,0.438,0.778,0.474,0.594,0.643,0.934,0.006,0.148,-0.038,0.528,0.924,0.949,0.018,0.064,21,7.64,5.77,8.13,7.13
TCBIS0541,10.319,0.317,0.683,0.537,0.63,0.329,0.983,0.055,0.396,-0.278,0.476,0.384,0.915,0.075,0.091,14,6.59,6.17,7.23,6.5
TCBIS0542,4.809,0.538,0.744,0.027,0.237,0.589,0.779,0.295,0.393,-0.318,0.617,0.627,0.739,0.219,0.38,22,7.2,3.98,6.26,6.91
TCBIS0543,10.871,0.7,0.461,0.515,0.265,0.396,0.627,0.429,0.498,0.62,0.39,0.657,0.857,0.335,0.257,11,6.16,6.0,6.17,5.66
TCBIS0544,1.103,0.246,0.572,0.654,0.692,0.782,0.852,0.179,-0.459,0.068,0.491,0.668,0.6,0.262,0.342,18,8.33,5.56,6.87,5.85
TCBIS0545,3.313,0.574,0.558,0.77,0.382,0.625,0.341,0.6,0.391,0.263,0.389,0.559,0.854,0.025,0.076,10,6.74,6.06,7.81,5.38
TCBIS0546,11.082,0.405,0.822,0.498,0.297,0.134,0.856,0.139,0.038,0.333,0.757,0.085,0.106,0.086,0.635,11,4.39,5.38,6.81,7.18
TCBIS0547,1.69,0.369,0.247,0.206,0.312,0.6,0.668,0.31,0.228,0.581,0.227,0.393,0.835,0.351,0.19,18,6.68,4.47,7.28,4.31
TCBIS0548,11.02,0.379,0.517,0.259,0.327,0.237,0.95,0.062,-0.241,0.055,0.435,0.301,0.641,0.032,0.284,22,5.52,4.78,7.01,6.63
TCBIS0549,9.519,0.578,0.605,0.058,0.494,0.439,0.955,0.098,0.396,0.445,0.607,0.597,0.852,0.118,0.612,13,8.12,4.72,7.46,6.84
TCBIS0550,4.238,0.562,0.256,0.845,0.409,0.604,0.666,0.264,-0.498,0.622,0.323,0.577,0.632,0.078,0.448,11,7.07,7.24,6.76,5.93
TCBIS0551,4.979,0.597,0.631,0.342,0.376,0.443,0.725,0.29,-0.035,0.043,0.505,0.284,0.743,0.228,0.27,15,6.85,5.3,6.34,6.26
TCBIS0552,8.497,0.715,0.234,0.237,0.345,0.236,0.633,0.322,0.476,0.26,0.239,0.101,0.658,0.176,0.248,18,5.24,4.04,4.94,4.61
TCBIS0553,9.911,0.279,0.713,0.401,0.624,0.43,0.616,0.427,-0.16,0.51,0.58,0.579,0.69,0.27,0.332,11,6.58,6.16,6.59,6.46
TCBIS0554,5.941,0.441,0.368,0.754,0.879,0.697,0.98,0.034,-0.528,-0.013,0.326,0.811,0.828,0.303,0.248,13,6.96,7.55,7.68,5.51
TCBIS0555,5.573,0.804,0.257,0.506,0.743,0.625,0.926,0.003,0.413,-0.298,0.282,0.653,0.852,0.124,0.328,23,7.96,5.74,5.89,5.96
TCBIS0556,7.784,0.521,0.152,0.564,0.415,0.279,0.703,0.302,-0.437,0.149,0.193,0.126,0.178,0.142,0.269,15,5.16,5.59,6.53,3.96
TCBIS0557,5.51,0.813,0.199,0.535,0.311,0.553,0.678,0.326,-0.044,0.283,0.411,0.584,0.495,0.06,0.805,21,7.38,5.32,5.17,4.94
TCBIS0558,7.002,0.245,0.781,0.389,0.186,0.582,0.825,0.243,0.297,-0.068,0.538,0.791,0.782,0.055,0.086,14,7.15,3.86,7.54,6.46
TCBIS0559,9.832,0.47,0.748,0.469,0.481,0.431,0.434,0.516,-0.44,0.34,0.618,0.607,0.817,0.279,0.376,13,5.68,6.61,6.26,6.7
TCBIS0560,10.245,0.523,0.954,0.297,0.662,0.405,0.571,0.464,-0.466,0.006,0.757,0.54,0.773,0.149,0.391,21,5.97,5.16,6.62,7.74
TCBIS0561,4.569,0.188,0.598,0.414,0.314,0.65,0.848,0.132,0.456,0.404,0.432,0.726,0.58,0.146,0.125,17,8.05,6.28,5.77,6.23
TCBIS0562,1.702,0.485,0.645,0.171,0.46,0.638,1.0,0.018,-0.451,-0.32,0.479,0.446,0.432,0.234,0.171,14,6.97,4.61,7.88,5.63
TCBIS0563,7.405,0.681,0.333,0.373,0.577,0.383,0.913,0.149,0.059,0.538,0.264,0.293,0.207,0.089,0.136,17,6.07,5.72,5.8,4.98
TCBIS0564,1.212,0.838,0.217,0.415,0.485,0.601,0.353,0.596,0.52,0.612,0.166,0.322,0.608,0.106,0.071,21,6.54,5.19,4.87,4.32
TCBIS0565,10.754,0.149,0.45,0.1,0.543,0.434,0.912,0.082,-0.413,0.409,0.349,0.672,0.694,0.116,0.162,23,6.59,4.28,6.87,5.25
TCBIS0566,3.2,0.675,0.395,0.54,0.514,0.565,0.687,0.313,-0.139,-0.237,0.299,0.387,0.849,0.18,0.12,17,6.69,5.64,6.37,5.97
TCBIS0567,4.244,0.702,0.794,0.551,0.586,0.578,0.797,0.204,0.399,0.08,0.615,0.481,0.515,0.198,0.283,23,7.39,6.13,5.57,6.88
